"","id","title","nop","price","rating","publisher","year"
"197",3754,"<U+202B>پاييز فصل آخر سال است<U+202C>‌<U+202B>",189,16800,3.96819787985866,"نشر چشمه","spring95"
"198",2611,"ضيافت",144,3500,4.36666666666667,"انتشارات جامي","spring95"
"199",376,"صد سال تنهايي",416,8200,3.91304347826087,"انتشارات جامي","spring95"
"200",6426,"شازده کوچولو",192,1400,4.68535825545171,"کتاب کوله پشتي","94"
"201",6199,"دختر گمشده",550,8000,4.17322834645669,"انتشارات ميلکان","94"
"202",5861,"ده روز با داعش از درون دولت اسلامي",335,10000,4.30927835051546,"کتاب کوله پشتي","94"
"203",5417,"تمام آنچه که هرگز به تو نگفتم",286,10000,4.24117647058824,"کتاب کوله پشتي","94"
"204",3962,"سيماي زني در ميان جمع",557,21000,4.16666666666667,"انتشارات آگه","94"
"205",3917,"دختري در قطار",320,3500,3.96641791044776,"انتشارات ميلکان","94"
"206",3773,"ايروبيک ذهن: <U+06F7><U+06F5> روش حفظ سلامت ذهن",183,4000,3.75,"کليدر","94"
"207",3708,"آموزش جنسي براي زوج‌هاي جوان",175,2500,3.63934426229508,"انتشارات آوند انديشه","94"
"208",3490,"روزنامه‌ي سفر ميمنت اثر ايالات متفرقه‌ي امريغ",134,5000,3.55555555555556,"انتشارات مازيار","94"
"209",2700,"راز ذهن ميليونرها",224,2700,4.39130434782609,"انتشارات هنگام","94"
"210",2309,"چگونه يک فرد را مثل يک کتاب بخوانيم؟",106,3000,3.5625,"انتشارات پلک","94"
"211",1084,"آن بيست‌و‌سه نفر",406,10500,4.52892561983471,"انتشارات سوره مهر","94"
"212",914,"دختر شينا: خاطرات قدم‌خير محمدي کنعان",263,7000,4.6310861423221,"انتشارات سوره مهر","94"
"213",694,"جنگ و صلح (خلاصه)",640,7000,4.13513513513514,"انتشارات سوره مهر","94"
